Date/time,v80;wind_speed;Avg,v80;wind_speed;Max,v80;wind_speed;Min,v80;wind_speed;StdDev,v80;wind_speed;Count,v80V;wind_speed;Avg,v80V;wind_speed;Max,v80V;wind_speed;Min,v80V;wind_speed;StdDev,v80V;wind_speed;Count,v60;wind_speed;Avg,v60;wind_speed;Max,v60;wind_speed;Min,v60;wind_speed;StdDev,v60;wind_speed;Count,v40;wind_speed;Avg,v40;wind_speed;Max,v40;wind_speed;Min,v40;wind_speed;StdDev,v40;wind_speed;Count,v20;wind_speed;Avg,v20;wind_speed;Max,v20;wind_speed;Min,v20;wind_speed;StdDev,v20;wind_speed;Count,dir78.5 (deg);wind_direction;Avg,dir78.5 (deg);wind_direction;StdDev,dir78.5 (deg);wind_direction;Count,dir58.5 (deg);wind_direction;Avg,dir58.5 (deg);wind_direction;StdDev,dir58.5 (deg);wind_direction;Count,Temp/Hum5;humidity;Avg,Temp/Hum5;humidity;Max,Temp/Hum5;humidity;Min,Temp/Hum5;humidity;StdDev,Temp/Hum5;humidity;Count,temp76;temperature;Avg,temp76;temperature;Max,temp76;temperature;Min,temp76;temperature;StdDev,temp76;temperature;Count,Temp/Hum5;temperature;Avg,Temp/Hum5;temperature;Max,Temp/Hum5;temperature;Min,Temp/Hum5;temperature;StdDev,Temp/Hum5;temperature;Count,baro (mbar);air_pressure;Avg,baro (mbar);air_pressure;Max,baro (mbar);air_pressure;Min,baro (mbar);air_pressure;StdDev,baro (mbar);air_pressure;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A2;Avg,A2;Max,A2;Min,A2;StdDev,A3;Avg,A3;Max,A3;Min,A3;StdDev,A4;Avg,A4;Max,A4;Min,A4;StdDev,C1;Avg,C1;Max,C1;Min,C1;StdDev,C2;Avg,C2;Max,C2;Min,C2;StdDev,C3;Avg,C3;Max,C3;Min,C3;StdDev,C4;Avg,C4;Max,C4;Min,C4;StdDev,C5;Avg,C5;Max,C5;Min,C5;StdDev,D1;Avg,D1;Max,D1;Min,D1;StdDev,D2;Avg,D2;Max,D2;Min,D2;StdDev,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2017-04-25 00:00:00,3.8571,4.5271,2.8725,0.3547,600,3.8926,4.5493,2.8959,0.3571,600,4.3965,5.2224,3.3401,0.3943,600,4.8619,5.5168,3.9991,0.2751,600,3.6651,4.6099,2.7239,0.3903,600,258.5830,3.9979,600,251.9578,3.8647,600,77.4631,78.4936,76.8761,0.5008,600,19.71487,19.86114,19.56511,0.09831,600,17.33725,17.43492,17.19382,0.07091,600,965.0827,965.2455,964.8488,0.1544,600,3.6508,3.6525,3.6485,0.0015,0.47337,0.47435,0.47194,0.00071,0.7746,0.7849,0.7688,0.0050,0.49715,0.49861,0.49565,0.00098,74.4617,95.0000,54.0000,8.4850,100.7600,115.0000,82.0000,5.9826,90.0100,108.0000,67.0000,8.5881,78.4217,93.0000,57.0000,7.7179,38.2483,45.0000,28.0000,3.6718,713.8783,740,681,11.0046,731.7317,761,701,11.3843,12.50,12.56,12.46,24.9500,27,23,17.9,3660077
2017-04-25 00:10:00,4.3874,5.0786,3.6998,0.3002,600,4.4182,5.1329,3.6740,0.3160,600,4.4758,5.1765,3.7533,0.2277,600,4.2911,5.0109,3.7231,0.2396,600,3.5593,4.2879,2.7699,0.2892,600,260.1410,5.5612,600,242.8104,6.1559,600,77.0731,77.6391,76.8761,0.1884,600,19.50990,19.89776,19.05850,0.32255,600,17.35553,17.42882,17.20603,0.06175,600,964.9303,965.2150,964.8183,0.1325,600,3.6493,3.6522,3.6482,0.0013,0.47356,0.47429,0.47206,0.00062,0.7707,0.7764,0.7688,0.0019,0.49510,0.49898,0.49059,0.00323,72.1617,88.0000,55.0000,6.2863,88.3500,104.0000,76.0000,5.2102,91.7383,107.0000,76.0000,4.9603,89.9617,105.0000,75.0000,6.5316,43.6517,51.0000,36.0000,3.2493,687.8617,740,630,17.5392,736.1633,784,690,15.8435,12.49,12.56,12.41,24.9233,27,23,17.1,3660136
2017-04-25 00:20:00,3.8411,4.8028,3.2862,0.2888,600,3.8767,4.7438,3.2849,0.2855,600,3.8593,4.6255,3.2023,0.2537,600,4.1025,5.5168,3.3092,0.2754,600,4.0834,4.9319,2.8619,0.3683,600,270.3683,5.6248,600,257.3045,5.4213,600,78.3923,78.7988,77.6086,0.3176,600,19.37104,19.60173,19.09818,0.16637,600,17.06252,17.20908,16.99851,0.05198,600,964.8876,965.2150,964.8183,0.0939,600,3.6489,3.6522,3.6482,0.0009,0.47063,0.47209,0.46999,0.00052,0.7839,0.7880,0.7761,0.0032,0.49371,0.49602,0.49098,0.00166,83.5550,102.0000,57.0000,8.0061,84.2483,115.0000,67.0000,5.9883,78.3100,95.0000,64.0000,5.5267,78.0750,99.0000,66.0000,6.2845,38.0850,47.0000,32.0000,2.9358,729.0867,773,671,15.4446,765.2550,819,711,16.0267,12.48,12.56,12.41,24.9967,27,23,17.0,3660195
2017-04-25 00:30:00,5.3419,6.7332,3.5619,0.7078,600,5.3763,6.6890,3.4794,0.6812,600,5.1329,6.7374,3.6155,0.6289,600,4.9669,5.9307,4.0911,0.3272,600,4.6955,5.5759,3.5519,0.4147,600,274.2922,9.7395,600,264.9894,13.4084,600,77.7514,78.2800,76.1437,0.5710,600,19.53327,19.92828,19.34538,0.17103,600,17.12772,17.40135,17.04123,0.10099,600,964.9257,965.2150,964.8183,0.1278,600,3.6493,3.6522,3.6482,0.0013,0.47128,0.47401,0.47041,0.00101,0.7775,0.7828,0.7614,0.0057,0.49533,0.49928,0.49345,0.00171,96.8600,116.0000,72.0000,9.0144,103.0433,124.0000,84.0000,7.1135,106.0500,141.0000,73.0000,13.6993,110.7283,141.0000,72.0000,15.3995,53.5033,67.0000,34.0000,7.0044,750.9250,834,668,38.1733,776.4017,841,693,27.7482,12.51,12.61,12.41,24.9067,27,23,17.0,3660254
2017-04-25 00:40:00,5.2729,6.5953,4.3892,0.3746,600,5.3065,6.3972,4.2575,0.3760,600,4.8569,5.8651,3.7073,0.4109,600,4.2665,5.8847,3.0793,0.4716,600,3.8012,4.7479,3.0919,0.2865,600,282.2336,5.4958,600,277.5574,5.7822,600,73.6223,76.1437,72.3594,1.2309,600,19.85568,20.02899,19.55901,0.14897,600,17.80339,18.06055,17.39525,0.21304,600,965.1679,965.5202,964.8488,0.1088,600,3.6517,3.6552,3.6485,0.0011,0.47803,0.48061,0.47395,0.00213,0.7362,0.7614,0.7236,0.0123,0.49856,0.50029,0.49559,0.00149,77.4200,98.0000,62.0000,6.2280,87.8150,123.0000,62.0000,10.2537,100.0400,122.0000,75.0000,8.9505,109.2283,138.0000,90.0000,8.1511,52.7850,64.0000,42.0000,3.8661,786.7000,829,737,16.4712,799.0100,849,746,15.6567,12.77,13.11,12.51,24.3167,27,21,17.0,3660313
2017-04-25 00:50:00,4.8228,5.9518,3.8377,0.3566,600,4.8665,5.8137,3.7712,0.3641,600,4.3083,5.3601,3.2483,0.3637,600,3.9041,4.7809,3.0793,0.3170,600,3.9388,4.5639,3.2299,0.2339,600,284.8428,6.0862,600,278.7136,6.5351,600,71.8167,72.3899,71.1081,0.4945,600,19.50990,19.56511,19.46135,0.02267,600,18.19570,18.35963,18.05139,0.10752,600,965.4602,965.8559,965.1845,0.1348,600,3.6546,3.6586,3.6518,0.0013,0.48196,0.48360,0.48051,0.00108,0.7182,0.7239,0.7111,0.0049,0.49510,0.49565,0.49461,0.00023,80.4100,94.0000,65.0000,5.0851,79.9350,99.0000,62.0000,6.8920,88.0900,111.0000,65.0000,7.9215,99.4350,124.0000,78.0000,7.7590,48.2617,58.0000,37.0000,3.7434,789.9800,842,725,18.6208,806.4233,859,752,17.3410,13.39,13.71,13.01,23.0733,27,19,18.0,3660372
2017-04-25 01:00:00,5.2591,6.3195,4.0675,0.4466,600,5.3055,7.2726,4.1603,0.4858,600,4.9720,6.2783,3.7073,0.4610,600,4.6219,5.9767,3.5852,0.4773,600,4.4422,5.5759,3.5519,0.3358,600,286.8558,5.9763,600,278.2062,6.5599,600,71.9981,72.5425,71.3523,0.3286,600,19.50292,19.54680,19.44304,0.02992,600,18.29975,18.47255,18.21314,0.06583,600,965.5580,965.8864,965.4897,0.0383,600,3.6556,3.6589,3.6549,0.0004,0.48300,0.48473,0.48213,0.00066,0.7200,0.7254,0.7135,0.0033,0.49503,0.49547,0.49443,0.00030,91.3550,116.0000,72.0000,7.2994,95.5417,125.0000,73.0000,10.3792,102.5467,131.0000,75.0000,10.0410,108.9267,132.0000,83.0000,9.7169,52.7750,73.0000,41.0000,4.9946,788.5450,854,734,18.6916,812.1500,868,761,17.0260,13.69,13.76,13.61,22.6633,25,19,18.0,3660431
2017-04-25 01:10:00,6.1339,7.8822,4.6650,0.5285,600,6.0967,7.8561,4.5493,0.5622,600,5.8025,7.4720,4.5337,0.5062,600,5.3877,7.5403,4.0911,0.5134,600,4.9616,5.8979,3.7359,0.3647,600,290.6906,6.6000,600,283.2470,7.8095,600,70.0796,71.4133,69.2160,0.6256,600,19.68924,19.94964,19.49187,0.16132,600,18.75460,18.95474,18.46645,0.13791,600,965.5953,965.9169,965.5507,0.0742,600,3.6560,3.6592,3.6555,0.0007,0.48755,0.48955,0.48466,0.00138,0.7008,0.7141,0.6922,0.0063,0.49689,0.49950,0.49492,0.00161,102.6467,123.0000,76.0000,7.9286,112.1933,159.0000,84.0000,11.1636,120.6367,157.0000,93.0000,11.0256,127.9617,166.0000,96.0000,11.4990,60.9100,79.0000,45.0000,5.7808,802.8967,859,744,22.2537,823.0567,865,763,18.7997,13.62,13.71,13.56,22.7967,25,19,18.9,3660490
2017-04-25 01:20:00,5.3043,6.8251,3.9296,0.4478,600,5.3175,6.8835,3.9657,0.4806,600,5.1588,6.3701,4.3501,0.3797,600,5.3095,6.4825,4.3210,0.3460,600,4.5658,5.7599,3.3219,0.4771,600,275.0064,9.9144,600,265.1488,8.2285,600,68.9807,69.5517,67.9952,0.4163,600,19.53431,19.94049,19.13480,0.24446,600,19.06814,19.24467,18.94559,0.08005,600,965.6410,965.9474,965.5507,0.0929,600,3.6564,3.6595,3.6555,0.0009,0.49068,0.49245,0.48946,0.00080,0.6898,0.6955,0.6800,0.0042,0.49534,0.49940,0.49135,0.00244,94.0417,120.0000,67.0000,10.3709,110.4933,136.0000,89.0000,7.5242,106.6150,133.0000,89.0000,8.2695,109.9100,143.0000,80.0000,9.7434,52.8983,69.0000,39.0000,4.9415,751.4500,827,695,23.4575,778.4617,859,714,28.2525,13.62,13.71,13.56,22.8933,25,19,19.6,3660549
2017-04-25 01:30:00,5.3282,6.4114,4.2054,0.3750,600,5.3705,6.6890,3.9657,0.4371,600,5.3527,7.0588,3.9828,0.4952,600,5.1064,6.3906,3.9531,0.5001,600,4.5955,6.0359,3.3679,0.4981,600,265.9171,7.0054,600,258.7941,6.8978,600,66.9708,68.1783,66.1641,0.5340,600,19.04543,19.13785,19.00357,0.03694,600,19.47879,19.68108,19.24162,0.12435,600,965.7222,966.0085,965.5812,0.1453,600,3.6572,3.6601,3.6558,0.0015,0.49479,0.49681,0.49242,0.00124,0.6697,0.6818,0.6616,0.0053,0.49045,0.49138,0.49004,0.00037,94.6867,126.0000,68.0000,10.8290,106.0767,134.0000,81.0000,10.8750,110.8383,148.0000,81.0000,10.7872,110.4317,134.0000,86.0000,8.1592,53.4433,67.0000,39.0000,4.4941,733.3250,787,677,19.6554,752.6017,815,700,19.9600,13.59,13.66,13.51,22.7333,25,19,20.7,3660607
