Date/time,v80;wind_speed;Avg,v80;wind_speed;Max,v80;wind_speed;Min,v80;wind_speed;StdDev,v80;wind_speed;Count,v80V;wind_speed;Avg,v80V;wind_speed;Max,v80V;wind_speed;Min,v80V;wind_speed;StdDev,v80V;wind_speed;Count,v60;wind_speed;Avg,v60;wind_speed;Max,v60;wind_speed;Min,v60;wind_speed;StdDev,v60;wind_speed;Count,v40;wind_speed;Avg,v40;wind_speed;Max,v40;wind_speed;Min,v40;wind_speed;StdDev,v40;wind_speed;Count,v20;wind_speed;Avg,v20;wind_speed;Max,v20;wind_speed;Min,v20;wind_speed;StdDev,v20;wind_speed;Count,dir78.5 (deg);wind_direction;Avg,dir78.5 (deg);wind_direction;StdDev,dir78.5 (deg);wind_direction;Count,dir58.5 (deg);wind_direction;Avg,dir58.5 (deg);wind_direction;StdDev,dir58.5 (deg);wind_direction;Count,Temp/Hum5;humidity;Avg,Temp/Hum5;humidity;Max,Temp/Hum5;humidity;Min,Temp/Hum5;humidity;StdDev,Temp/Hum5;humidity;Count,temp76;temperature;Avg,temp76;temperature;Max,temp76;temperature;Min,temp76;temperature;StdDev,temp76;temperature;Count,Temp/Hum5;temperature;Avg,Temp/Hum5;temperature;Max,Temp/Hum5;temperature;Min,Temp/Hum5;temperature;StdDev,Temp/Hum5;temperature;Count,baro (mbar);air_pressure;Avg,baro (mbar);air_pressure;Max,baro (mbar);air_pressure;Min,baro (mbar);air_pressure;StdDev,baro (mbar);air_pressure;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A2;Avg,A2;Max,A2;Min,A2;StdDev,A3;Avg,A3;Max,A3;Min,A3;StdDev,A4;Avg,A4;Max,A4;Min,A4;StdDev,C1;Avg,C1;Max,C1;Min,C1;StdDev,C2;Avg,C2;Max,C2;Min,C2;StdDev,C3;Avg,C3;Max,C3;Min,C3;StdDev,C4;Avg,C4;Max,C4;Min,C4;StdDev,C5;Avg,C5;Max,C5;Min,C5;StdDev,D1;Avg,D1;Max,D1;Min,D1;StdDev,D2;Avg,D2;Max,D2;Min,D2;StdDev,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2017-05-29 00:00:00,2.5061,3.0104,2.1831,0.1629,600,2.5384,3.0904,2.2151,0.1690,600,2.2794,2.7891,1.9169,0.2261,600,2.2236,3.6312,1.7916,0.3933,600,2.4157,3.5519,1.8499,0.3837,600,241.0617,6.2526,600,228.0441,9.2609,600,52.7697,53.1327,52.3087,0.2553,600,25.87044,26.01672,25.70544,0.11479,600,23.27812,23.31889,23.23649,0.02565,600,955.9618,956.2426,955.8763,0.1160,600,3.5596,3.5624,3.5588,0.0012,0.53278,0.53319,0.53236,0.00026,0.5277,0.5313,0.5231,0.0026,0.55870,0.56017,0.55705,0.00115,47.3000,72.0000,35.0000,8.3402,43.3933,74.0000,34.0000,8.5512,43.8967,55.0000,36.0000,4.9254,49.0267,60.0000,42.0000,3.5450,24.3250,30.0000,21.0000,1.7381,645.9067,691,601,26.3687,681.8717,713,637,17.8121,12.48,12.56,12.41,24.9033,27,23,23.0,3949056
2017-05-29 00:10:00,2.4715,2.8725,2.0452,0.1428,600,2.5038,2.9931,2.0205,0.1585,600,2.6370,4.3042,1.7332,0.6944,600,2.8086,3.6772,2.2055,0.4082,600,2.7103,3.9659,1.7579,0.6097,600,224.2804,16.8044,600,207.4929,11.5418,600,53.4604,54.0178,53.0717,0.2866,600,25.86916,26.00757,25.71764,0.10123,600,23.19137,23.25785,23.06558,0.06294,600,956.2081,956.2731,955.9069,0.0700,600,3.5621,3.5627,3.5591,0.0007,0.53191,0.53258,0.53066,0.00063,0.5346,0.5402,0.5307,0.0029,0.55869,0.56008,0.55718,0.00101,53.7050,81.0000,33.0000,13.2550,56.1150,75.0000,43.0000,8.8765,51.6850,88.0000,32.0000,15.1250,48.2750,57.0000,39.0000,3.1063,23.9683,29.0000,19.0000,1.6294,587.3400,647,519,32.8738,633.9600,713,550,47.7636,12.53,12.61,12.46,24.7500,27,21,23.0,3949115
2017-05-29 00:20:00,1.9113,2.4129,1.4018,0.2129,600,1.9095,2.4096,1.3397,0.1997,600,2.5612,3.2483,1.9169,0.2090,600,3.2112,3.9071,2.4814,0.3653,600,3.1121,3.8279,2.4479,0.2465,600,205.2704,12.0300,600,186.6922,7.6688,600,54.5947,54.8418,53.9872,0.2472,600,25.66684,25.77868,25.46739,0.08828,600,22.98434,23.07169,22.94656,0.03840,600,956.3838,956.5783,956.1815,0.1525,600,3.5638,3.5658,3.5618,0.0015,0.52984,0.53072,0.52947,0.00038,0.5459,0.5484,0.5399,0.0025,0.55667,0.55779,0.55467,0.00088,62.4383,78.0000,48.0000,5.3589,64.8683,80.0000,49.0000,7.9431,50.0350,65.0000,36.0000,4.5514,36.0867,47.0000,25.0000,4.6327,17.8583,23.0000,12.0000,2.0531,528.2933,595,496,21.8565,580.2467,677,524,34.3025,12.69,12.91,12.56,24.3333,27,21,23.0,3949175
2017-05-29 00:30:00,1.1915,2.2750,0.6205,0.4919,600,1.0742,2.3123,0.4644,0.4456,600,1.8530,3.2023,1.1364,0.5308,600,2.0476,3.3092,1.1477,0.6443,600,1.9179,3.0459,1.2519,0.4905,600,203.4203,20.3831,600,188.0168,9.0126,600,54.6177,55.3606,54.2009,0.3029,600,25.40560,25.47960,25.36973,0.02236,600,23.01327,23.10526,22.92825,0.05301,600,956.6183,956.8835,956.5172,0.1334,600,3.5662,3.5688,3.5652,0.0013,0.53013,0.53105,0.52928,0.00053,0.5462,0.5536,0.5420,0.0030,0.55406,0.55480,0.55370,0.00022,36.4783,61.0000,22.0000,10.6633,39.5683,67.0000,20.0000,14.0106,34.6083,64.0000,19.0000,11.5610,20.4233,44.0000,8.0000,10.7030,9.2700,22.0000,3.0000,4.5817,532.0683,597,495,25.6685,575.8767,706,507,58.0753,13.09,13.36,12.81,23.3533,27,21,23.0,3949234
2017-05-29 00:40:00,1.8076,2.1831,1.2639,0.1644,600,1.6428,2.2151,1.1452,0.1819,600,2.1751,2.5596,1.8250,0.1921,600,2.1464,2.5274,1.8835,0.1424,600,1.7717,2.1259,1.2979,0.2431,600,180.5877,5.4108,600,165.5132,4.7366,600,54.6253,55.6047,53.1022,0.7735,600,25.00542,25.43382,24.60677,0.27594,600,23.07743,23.43486,22.89163,0.16928,600,956.8605,957.1886,956.7919,0.0705,600,3.5686,3.5719,3.5679,0.0007,0.53077,0.53435,0.52892,0.00169,0.5463,0.5560,0.5310,0.0077,0.55005,0.55434,0.54607,0.00276,33.3000,41.0000,23.0000,5.2842,41.7150,50.0000,36.0000,3.0957,41.6250,50.0000,34.0000,4.1853,33.8283,42.0000,22.0000,3.5763,15.1167,21.0000,10.0000,1.8705,467.9950,499,435,13.4881,509.8817,549,476,15.4075,13.45,13.61,13.26,22.9200,25,21,23.0,3949293
2017-05-29 00:50:00,2.0967,2.5048,1.2180,0.2810,600,2.1279,2.7014,1.2425,0.3034,600,2.3233,2.6973,1.6414,0.2498,600,1.7404,2.1135,1.1937,0.2341,600,1.4892,1.7119,1.2979,0.1090,600,171.5034,3.2517,600,160.3569,4.8624,600,52.8315,53.4684,52.4308,0.3039,600,24.64902,24.76852,24.57625,0.05864,600,23.69682,23.80718,23.43181,0.10869,600,957.1047,957.2497,956.8224,0.1421,600,3.5710,3.5725,3.5682,0.0014,0.53697,0.53807,0.53432,0.00109,0.5283,0.5347,0.5243,0.0030,0.54649,0.54769,0.54576,0.00059,27.1583,32.0000,23.0000,2.3705,32.8883,41.0000,21.0000,5.0911,44.8533,53.0000,30.0000,5.4419,40.1200,49.0000,21.0000,6.1140,20.1033,26.0000,11.0000,3.1196,453.3283,495,403,13.8524,484.0417,511,463,9.2588,13.56,13.61,13.51,22.7400,25,19,23.8,3949352
2017-05-29 01:00:00,1.9084,2.6427,0.9882,0.4996,600,1.9243,2.7986,0.9507,0.5292,600,2.3434,3.0187,1.3200,0.4693,600,1.9619,2.4814,1.3317,0.2586,600,1.8645,2.3559,1.3899,0.2335,600,159.0123,10.6434,600,148.8399,10.0188,600,53.0875,53.7736,52.4003,0.3906,600,24.93577,25.05234,24.76241,0.06670,600,23.81485,23.93536,23.75530,0.05172,600,957.2015,957.2497,956.8835,0.0329,600,3.5720,3.5725,3.5688,0.0003,0.53815,0.53935,0.53755,0.00052,0.5309,0.5377,0.5240,0.0039,0.54936,0.55052,0.54762,0.00067,35.3183,46.0000,25.0000,5.0771,37.7033,49.0000,24.0000,5.6239,45.2917,60.0000,23.0000,10.2229,36.0233,52.0000,16.0000,10.8704,18.0100,27.0000,8.0000,5.4408,420.4750,466,335,28.5533,448.3833,487,385,30.3195,13.52,13.61,13.46,22.8267,25,19,24.2,3949411
2017-05-29 01:10:00,1.8850,2.3210,1.4478,0.2247,600,1.8923,2.4096,1.4370,0.2296,600,2.5269,3.0646,1.7332,0.3395,600,2.0109,2.6654,1.4236,0.2501,600,1.9276,2.4939,1.1599,0.3087,600,148.0676,8.7332,600,143.5256,14.8312,600,51.9117,52.4918,51.3627,0.3107,600,25.19121,25.32090,25.04624,0.07792,600,24.13586,24.41145,23.92926,0.13062,600,957.2247,957.2802,956.9140,0.0406,600,3.5722,3.5728,3.5691,0.0004,0.54136,0.54411,0.53929,0.00131,0.5191,0.5249,0.5136,0.0031,0.55191,0.55321,0.55046,0.00078,36.6883,49.0000,20.0000,6.7099,38.7683,53.0000,26.0000,5.4376,49.2883,61.0000,32.0000,7.3948,35.5133,45.0000,26.0000,4.8901,17.6817,23.0000,13.0000,2.3607,405.2300,465,307,42.2072,417.4300,476,378,24.8732,13.48,13.56,13.41,22.8300,25,19,25.1,3949470
2017-05-29 01:20:00,2.4066,3.0564,1.6776,0.3495,600,2.4029,3.1877,1.6315,0.3764,600,3.1074,3.6614,2.3760,0.3231,600,2.2379,2.8953,1.4236,0.3135,600,1.5323,2.2639,0.7919,0.3393,600,161.5812,3.3298,600,158.9515,2.9006,600,49.9256,51.3321,48.9212,0.6970,600,25.42988,25.57421,25.30870,0.07605,600,24.82690,25.13169,24.41450,0.21527,600,957.2727,957.5854,957.2192,0.0529,600,3.5727,3.5759,3.5722,0.0005,0.54827,0.55132,0.54415,0.00215,0.4993,0.5133,0.4892,0.0070,0.55430,0.55574,0.55309,0.00076,28.0950,44.0000,12.0000,7.3761,43.7050,58.0000,26.0000,6.8168,61.9317,74.0000,46.0000,7.0368,46.8633,61.0000,31.0000,7.6036,22.9317,31.0000,15.0000,3.8702,449.3283,465,429,8.2586,455.8167,488,431,9.4817,13.47,13.51,13.41,22.8000,25,19,26.1,3949529
2017-05-29 01:30:00,3.4554,4.1134,2.6887,0.3443,600,3.4136,4.3548,2.6041,0.3585,600,2.9884,4.0287,1.6414,0.6639,600,2.2455,3.1713,1.2397,0.4467,600,1.8827,2.5399,1.2519,0.2834,600,165.3508,3.6890,600,162.9081,6.8740,600,48.6742,49.2569,47.6394,0.4677,600,25.47265,25.61083,25.21409,0.14682,600,25.27919,25.52538,25.11948,0.11157,600,957.3799,957.6464,957.2497,0.1370,600,3.5738,3.5765,3.5725,0.0014,0.55279,0.55525,0.55119,0.00112,0.4867,0.4926,0.4764,0.0047,0.55473,0.55611,0.55214,0.00147,35.7133,50.0000,22.0000,6.1613,43.8700,64.0000,22.0000,9.7129,59.3400,82.0000,30.0000,14.4607,69.6833,84.0000,53.0000,7.4913,33.3233,43.0000,25.0000,3.6862,460.5950,528,395,19.6019,466.5367,506,426,10.5073,13.41,13.51,13.31,22.9300,25,19,27.1,3949588
